City	State	Country
Aachen	North Rhine-Westphalia	Germany
Albuquerque	New Mexico	USA
Anchorage	Alaska	USA
Ann Arbor	Michigan	USA
Annecy	Haute-Savoie	France
Århus	Århus	Denmark
Atlanta	Georgia	USA
Austin	Texas	USA
Barcelona	Barcelona	Spain
Barquisimeto	Lara	Venezuela
Beachwood	Ohio	USA
Bedford	Indiana	USA
Bellevue	Kentucky	USA
Bend	Oregon	USA
Bentonville	Arkansas	USA
Bergamo	Bergamo	Italy
Berlin	Berlin	Germany
Bern	Bern	Switzerland
Bloomfield Hills	Michigan	USA
Boise	Idaho	USA
Boston	Massachusetts	USA
Bräcke	Jämtland	Sweden
Braintree	Massachusetts	USA
Brandenburg	Brandenburg	Germany
Bruxelles	Bruxelles	Belgium
Buenos Aires	Buenos Aires	Argentina
Butte	Montana	USA
Cambridge	Massachusetts	USA
Campbell	California	USA
Campinas	Sao Paulo	Brazil
Caracas	Distrito Capital	Venezuela
Cary	North Carolina	USA
Charleroi	Hainaut	Belgium
Chicago	Illinois	USA
Colorado Springs	Colorado	USA
Columbia	South Carolina	USA
Cork	Cork	Ireland
Cowes	Isle of Wight	UK
Cunewalde	Saxony	Germany
Cuxhaven	Lower Saxony	Germany
Dallas	Texas	USA
Denver	Colorado	USA
Edison	New Jersey	USA
Elgin	Oregon	USA
Eugene	Oregon	USA
Fairport	New York	USA
Findlay	Ohio	USA
Frankfurt	Brandenburg	Germany
Frankfurt a.M.	Hesse	Germany
Genève	Geneva	Switzerland
Georgetown	South Carolina	USA
Göteborg	Västra Götaland	Sweden
Graz	Steiermark	Austria
Greensboro	North Carolina	USA
Helsinki	Southern Finland	Finland
Hoffman Estates	Illinois	USA
Hollis	Oklahoma	USA
I. de Margarita	Nueva Esparta	Venezuela
Kirkland	Washington	USA
Kobenhavn	Kobenhavn	Denmark
Köln	North Rhine-Westphalia	Germany
Lander	Wyoming	USA
Lappeenranta	Southern Finland	Finland
Leipzig	Saxony	Germany
Lille	Nord	France
Lisboa	Lisboa	Portugal
London	London	UK
Louisville	Kentucky	USA
Luleå	Norrbotten	Sweden
Lyngby	Lyngby-Taarbæk	Denmark
Lyon	Rhône	France
Madrid	Madrid	Spain
Manchester	Manchester	UK
Mannheim	Baden-Württemberg	Germany
Marseille	Bouches-du-Rhône	France
Melbourne	Victoria	Australia
Melville	Louisiana	USA
Menlo Park	California	USA
México D.F.	México D.F.	Mexico
Minneapolis	Minnesota	USA
Montceau	Saône-et-Loire	France
Montréal	Québec	Canada
Morristown	New Jersey	USA
München	Bavaria	Germany
Münster	North Rhine-Westphalia	Germany
Nantes	Loire-Atlantique	France
New Orleans	Louisiana	USA
New York	New York	USA
Newark	New Jersey	USA
Orlando	Florida	USA
Osaka	Osaka	Japan
Oulu	Oulu	Finland
Oviedo	Asturias	Spain
Paris	Paris	France
Philadelphia	Pennsylvania	USA
Phoenix	Arizona	USA
Portland	Oregon	USA
Portsmouth	New Hampshire	USA
Providence	Rhode Island	USA
Racine	Wisconsin	USA
Ravenna	Ravenna	Italy
Redmond	Washington	USA
Reggio Emilia	Reggio Emilia	Italy
Reims	Marne	France
Resende	Rio de Janeiro	Brazil
Rio de Janeiro	Rio de Janeiro	Brazil
Rockville	Maryland	USA
Roseville	California	USA
Salerno	Salerno	Italy
Salzburg	Salzburg	Austria
San Cristóbal	Táchira	Venezuela
San Francisco	California	USA
Sandvika	Akershus	Norway
Santa Clara	California	USA
Santa Cruz	California	USA
Santa Monica	California	USA
Sao Paulo	Sao Paulo	Brazil
Savannah	Georgia	USA
Scottsdale	Arizona	USA
Seattle	Washington	USA
Sevilla	Madrid	Spain
Singapore		Singapore
Southfield	Michigan	USA
Stavern	Vestfold	Norway
Ste-Hyacinthe	Québec	Canada
Stockholm	Stockholm	Sweden
Strasbourg	Bas-Rhin	France
Stuttgart	Baden-Württemberg	Germany
Sydney	New South Wales	Australia
Tampa	Florida	USA
Tokyo	Tokyo	Japan
Torino	Torino	Italy
Toulouse	Haute-Garonne	France
Troy	Michigan	USA
Tsawassen	British Columbia	Canada
Vancouver	British Columbia	Canada
Versailles	Yvelines	France
Walla Walla	Washington	USA
Warszawa	Mazowieckie	Poland
Westboro	Massachusetts	USA
Wilton	Connecticut	USA
Zaandam	North Holland	Netherlands
